Amerika, USA
あなた, you
bijinesu, business
ぼく, I
ぶんがく, literature
ちゅうごく, China
だいがく, college; university
だれ, who
どちら, which; where
どこ, where
どなた, who (polite)
enjinia, engineer
Furansu, France
がっこう, school
がくせい, college student
ぎんこう, bank
〜じん, people; nationality
かいしゃ, company
かいしゃいん, office worker
Kanada, Canada
かんこく, Korea
けいざい, economics
こちら, this person
konpyuutaa, computer
（お）くに, country; hometown; home country
kurasu, class
kyanpasu, campus
maneejaa, manager
Mekishiko, Mexico
なん, what
（お）なまえ, name
にほん, Japan
にほんご, Japanese language
Ooshan Ginkoo, Ocean Bank
paatii, party
れきし, history
りゅうがくせい, international student
〜さん, Mr.; Miss; Mrs.; Ms.
Sanfuranshisuko, San Francisco
sarariiman, office worker; company worker
せんこう, major
せんせい, teacher
（お）しごと, job; work
Shitiikarejji, City College
Supein, Spain
てんいん, store clerk
とおきょうしょうじ, Tokyo Trading Co.
ともだち, friend
うち, home; house
わたくし, I
わたし, I

です, is; am; are

ええ, good

で, at; in; on
か, (question)
の, of
は, (subject particle)
よ, (emphasis particle)

あ／ああ, ah; oh
ああ、そうですか。, Oh is that so?
あのう, hmm; er; uh
どうぞよろしく。, It is nice to meet you.
ええ, yes
はい, yes
はじめまして。, How do you do?
いいえ, no
いいせんせいですよ。, He is a good teacher.
こちらこそ。, It is nice to meet you too.
しつれいですが、..., Excuse me but...
よろしくおねがいします。, It is nice to meet you. (more formal)
